Allowed
3MINDIA.NS
AARTIIND.NS
ABB.NS
ABBOTINDIA.NS
ABCAPITAL.NS
ABFRL.NS
ACC.NS
ADANIENT.NS
ADANIPORTS.NS
ADANIPOWER.NS
AIAENG.NS
AJANTPHARM.NS
AKZOINDIA.NS
ALKEM.NS
AMARAJABAT.NS
AMBER.NS
AMBUJACEM.NS
AMRUTANJAN.NS
APLAPOLLO.NS
APOLLOHOSP.NS
APOLLOTYRE.NS
ARVSMART.NS
ASHOKA.NS
ASHOKLEY.NS
ASIANHOTNR.NS
ASIANPAINT.NS
ASTERDM.NS
ASTRAL.NS
ATUL.NS
AUROPHARMA.NS
AUTOAXLES.NS
AVANTIFEED.NS
AXISBANK.NS
BAJAJ-AUTO.NS
BAJAJCON.NS
BAJAJELEC.NS
BAJAJFINSV.NS
BAJAJHLDNG.NS
BAJFINANCE.NS
BALKRISIND.NS
BALMLAWRIE.NS
BALRAMCHIN.NS
BANCOINDIA.NS
BANDHANBNK.NS
BANKBARODA.NS
BANKBEES.NS
BANKINDIA.NS
BATAINDIA.NS
BAYERCROP.NS
BBTC.NS
BDL.NS
BEL.NS
BEML.NS
BERGEPAINT.NS
BHARATFORG.NS
BHARTIARTL.NS
BHEL.NS
BIOCON.NS
BOMDYEING.NS
BOSCHLTD.NS
BPCL.NS
BRITANNIA.NS
BSE.NS
CADILAHC.NS
CANBK.NS
CANFINHOME.NS
CARBORUNIV.NS
CASTROLIND.NS
CCL.NS
CDSL.NS
CEATLTD.NS
CENTURYPLY.NS
CENTURYTEX.NS
CERA.NS
CESC.NS
CHAMBLFERT.NS
CHENNPETRO.NS
CHOLAFIN.NS
CIPLA.NS
COALINDIA.NS
COCHINSHIP.NS
COFORGE.NS
COLPAL.NS
CONCOR.NS
COROMANDEL.NS
COSMOFILMS.NS
CRISIL.NS
CROMPTON.NS
CSBBANK.NS
CUB.NS
CUMMINSIND.NS
CYIENT.NS
DABUR.NS
DALBHARAT.NS
DBCORP.NS
DCBBANK.NS
DCMSHRIRAM.NS
DEEPAKFERT.NS
DEEPAKNTR.NS
DIVISLAB.NS
DLF.NS
DMART.NS
DREDGECORP.NS
DRREDDY.NS
EICHERMOT.NS
EIDPARRY.NS
ENDURANCE.NS
ENGINERSIN.NS
EQUITAS.NS
ERIS.NS
ESCORTS.NS
EXIDEIND.NS
FACT.NS
FDC.NS
FEDERALBNK.NS
FIEMIND.NS
FINEORG.NS
FORCEMOT.NS
FORTIS.NS
GAIL.NS
GALAXYSURF.NS
GARFIBRES.NS
GESHIP.NS
GICHSGFIN.NS
GILLETTE.NS
GIPCL.NS
GLAXO.NS
GLENMARK.NS
GMBREW.NS
GMDCLTD.NS
GMRINFRA.NS
GODFRYPHLP.NS
GODREJAGRO.NS
GODREJCP.NS
GODREJPROP.NS
GPPL.NS
GRASIM.NS
GREAVESCOT.NS
GREENPLY.NS
GRINDWELL.NS
GRSE.NS
GSFC.NS
GSPL.NS
GUJGASLTD.NS
GULFOILLUB.NS
HAL.NS
HAPPSTMNDS.NS
HAVELLS.NS
HCLTECH.NS
HDFC.NS
HDFCAMC.NS
HDFCBANK.NS
HDFCLIFE.NS
HEG.NS
HEIDELBERG.NS
HEROMOTOCO.NS
HIKAL.NS
HINDALCO.NS
HINDPETRO.NS
HINDUNILVR.NS
HONAUT.NS
HONDAPOWER.NS
HSCL.NS
IBULHSGFIN.NS
ICICIBANK.NS
ICICIBANKN.NS
ICICIGI.NS
ICICIPRULI.NS
ICRA.NS
IDEA.NS
IDFCFIRSTB.NS
IEX.NS
IGL.NS
IIFLWAM.NS
INDHOTEL.NS
INDIAGLYCO.NS
INDIANB.NS
INDIGO.NS
INDOSTAR.NS
INDUSINDBK.NS
INFRATEL.NS
INFY.NS
INSECTICID.NS
IOC.NS
IPCALAB.NS
IRCON.NS
IRCTC.NS
ISEC.NS
ITC.NS
ITI.NS
JAGRAN.NS
JAICORPLTD.NS
JCHAC.NS
JINDALSAW.NS
JINDALSTEL.NS
JKCEMENT.NS
JKLAKSHMI.NS
JKPAPER.NS
JKTYRE.NS
JMFINANCIL.NS
JSL.NS
JSWENERGY.NS
JSWSTEEL.NS
JTEKTINDIA.NS
JUBLFOOD.NS
JYOTHYLAB.NS
KAJARIACER.NS
KANSAINER.NS
KCP.NS
KEC.NS
KENNAMET.NS
KIRIINDUS.NS
KIRLOSBROS.NS
KNRCON.NS
KOTAKBANK.NS
